"first_last","province","gender","year_of_birth","year_of_death","year","exit_year","party","gen_cohort","year_range","years_total","sessions_total","start_year","age_start"
"coe_lorne","Ontario","m",1950,NA,2014,2024,"Progressice Conservative","Babyboom","1943-1960",10,20,2014,64
"colle_mike","Ontario","m",1945,NA,1995,2018,"Liberal","Babyboom","1943-1960",23,46,1995,50
"collins_shirley","Ontario","f",1952,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,35
"conway_sean","Ontario","m",1951,NA,1975,2003,"Liberal","Babyboom","1943-1960",28,56,1975,24
"cooke_dave","Ontario","m",1952,NA,1977,1997,"CCF/NDP","Babyboom","1943-1960",20,40,1977,25
"cooke_davidr","Ontario","m",1937,NA,1985,1990,"Liberal","Silent","1925-1942",5,10,1985,48
"cooper_mike","Ontario","m",1951,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,39
"coppen_shirley","Ontario","f",1946,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,44
"copps_sheila","Ontario","f",1952,NA,1981,1984,"Liberal","Babyboom","1943-1960",3,6,1981,29
"cordiano_joseph","Ontario","m",1957,NA,1985,2006,"Liberal","Babyboom","1943-1960",21,42,1985,28
"coteau_michael","Ontario","m",1972,NA,2011,2024,"Liberal","GenerationX","1961-1981",13,26,2011,39
"cousens_don","Ontario","m",1938,2017,1981,1994,"Progressice Conservative","Silent","1925-1942",13,26,1981,43
"crack_grant","Ontario","m",1963,NA,2011,2018,"Liberal","GenerationX","1961-1981",7,14,2011,48
"craitor_kim","Ontario","m",1946,NA,2003,2013,"Liberal","Babyboom","1943-1960",10,20,2003,57
"crozier_bruce","Ontario","m",1938,2011,1990,2011,"Liberal","Silent","1925-1942",21,42,1990,52
"cullen_alex","Ontario","m",1951,NA,1995,1999,"Liberal","Babyboom","1943-1960",4,8,1995,44
"cunningham_dianne","Ontario","f",1931,NA,1987,2003,"Progressice Conservative","Silent","1925-1942",16,32,1987,56
"cunningham_eric","Ontario","m",1949,2015,1975,1984,"Liberal","Babyboom","1943-1960",9,18,1975,26
"cureatz_sam","Ontario","m",1948,NA,1977,1990,"Progressice Conservative","Babyboom","1943-1960",13,26,1977,29
"curling_alvin","Ontario","m",1939,NA,1985,2005,"Liberal","Silent","1925-1942",20,40,1985,46
"dadamo_george","Ontario","m",1953,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,37
"daigeler_hans","Ontario","m",1945,1995,1987,1995,"Liberal","Babyboom","1943-1960",8,16,1987,42
"danford_harry","Ontario","m",1939,NA,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,56
"davidson_monty","Ontario","m",1935,2017,1975,1981,"CCF/NDP","Silent","1925-1942",6,12,1975,40
"davis_williamc","Ontario","m",1939,NA,1985,1987,"Progressice Conservative","Silent","1925-1942",2,4,1985,46
"demonte_dante","Ontario","m",1926,2009,1967,1971,"Liberal","Silent","1925-1942",4,8,1967,41
"deans_ian","Ontario","m",1937,2016,1967,1979,"CCF/NDP","Silent","1925-1942",12,24,1967,30
"defaria_carl","Ontario","m",1949,NA,1995,2003,"Progressice Conservative","Babyboom","1943-1960",8,16,1995,46
"delduca_steven","Ontario","m",1973,NA,2011,2018,"Liberal","GenerationX","1961-1981",7,14,2011,38
"delaney_bob","Ontario","m",1953,NA,2003,2018,"Liberal","Babyboom","1943-1960",15,30,2003,50
"demers_gaston","Ontario","m",1935,2004,1963,1971,"Progressice Conservative","Silent","1925-1942",8,16,1963,28
"desrosiers_nathalie","Ontario","f",1959,NA,2014,2019,"Liberal","Babyboom","1943-1960",5,10,2014,55
"dhillon_vic","Ontario","m",1969,NA,2003,2018,"Liberal","GenerationX","1961-1981",15,30,2003,34
"disanto_odoardo","Ontario","m",1934,NA,1975,1985,"CCF/NDP","Silent","1925-1942",10,20,1975,41
"dickson_joe","Ontario","m",1940,NA,2007,2018,"Liberal","Silent","1925-1942",11,22,2007,67
"dietsch_mike","Ontario","m",1942,2014,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,45
"dinovo_cheri","Ontario","f",1951,NA,2003,2017,"CCF/NDP","Babyboom","1943-1960",14,28,2003,52
"dombrowsky_leona","Ontario","f",1957,NA,1999,2011,"Liberal","Babyboom","1943-1960",12,24,1999,42
"dong_han","Ontario","m",1977,NA,2014,2018,"Liberal","GenerationX","1961-1981",4,8,2014,37
"downey_doug","Ontario","m",1970,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,48
"doyle_ed","Ontario","m",1935,NA,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,60
"drainville_dennis","Ontario","m",1954,NA,1990,1993,"CCF/NDP","Babyboom","1943-1960",3,6,1990,36
"drea_frank","Ontario","m",1933,2003,1971,1985,"Progressice Conservative","Silent","1925-1942",14,28,1971,38
"duguid_brad","Ontario","m",1962,NA,2003,2018,"Liberal","GenerationX","1961-1981",15,30,2003,41
"duignan_noel","Ontario","m",1948,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,42
"dukszta_janos","Ontario","m",1932,NA,1971,1981,"CCF/NDP","Silent","1925-1942",10,20,1971,39
"duncan_dwight","Ontario","m",1959,NA,1995,2013,"Liberal","Babyboom","1943-1960",18,36,1995,36
"dunlop_jill","Ontario","f",1975,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,43
"eagleson_robertalan","Ontario","m",1933,NA,1963,1967,"Progressice Conservative","Silent","1925-1942",4,8,1963,30
"eaton_bob","Ontario","m",1937,2009,1971,1985,"Progressice Conservative","Silent","1925-1942",14,28,1971,34
